Student_ID,Age,Gender,Attendance_Percentage,Previous_Grade,Current_Grade,Assignments_Submitted,Behavior_Score,Parent_Education,Family_Income,Internet_Access,Study_Hours,Academic_Risk
1024,19,Male,71.3,78.7,38.5,7,5,None,Medium,Yes,4.2,1
1025,15,Male,73.1,78.3,48.9,9,2,Graduate,High,Yes,1.9,1
1026,18,Male,72.3,47.4,75.7,3,4,None,Medium,No,2.5,0
1027,16,Male,72.4,75.3,63.0,0,3,Graduate,Low,No,2.3,1
1028,20,Male,92.6,82.2,58.6,3,1,Postgraduate,High,Yes,1.5,0
1029,19,Female,78.5,61.2,43.9,6,3,None,Low,Yes,3.9,1
1030,18,Male,80.7,83.0,58.8,1,3,Graduate,Low,Yes,2.5,0
1031,15,Male,72.5,78.1,74.6,1,1,None,Medium,Yes,3.5,0
1032,15,Female,88.3,46.0,53.4,5,3,Postgraduate,Low,Yes,0.0,1
1033,17,Female,82.3,97.9,86.2,8,3,High School,Low,Yes,4.0,0
1034,17,Female,74.3,54.3,81.3,2,2,High School,Low,No,2.1,1
1035,21,Male,59.0,79.4,57.0,6,2,None,Low,Yes,1.5,1
1036,16,Male,80.6,78.8,52.9,9,4,None,Medium,Yes,1.0,1
1037,18,Male,84.9,46.6,25.0,8,5,None,Low,No,1.6,1
1038,18,Female,66.3,67.7,44.7,8,4,Graduate,Medium,No,2.4,1
1039,21,Male,74.5,78.6,43.6,3,2,Postgraduate,Low,Yes,4.3,1
1040,20,Female,84.4,46.5,38.7,1,2,None,Medium,Yes,2.3,1
1041,20,Male,59.1,66.5,62.4,0,1,High School,Low,Yes,4.5,1
1042,21,Female,70.2,79.9,68.3,5,1,Graduate,Low,Yes,3.4,0
1043,20,Male,82.5,80.9,93.8,4,2,None,Low,No,5.7,1
1044,17,Male,91.3,59.0,64.1,5,3,Graduate,Medium,No,2.2,0
1045,18,Male,100.0,88.2,28.4,6,4,None,Medium,No,3.6,1
1046,21,Female,100.0,84.6,50.3,8,2,None,Medium,Yes,4.9,0
1047,18,Female,79.7,68.6,73.4,9,2,Graduate,High,Yes,3.9,0
1048,15,Male,72.2,55.1,61.6,9,1,Postgraduate,High,Yes,2.7,0
1049,17,Male,89.1,47.5,77.6,5,4,Postgraduate,Medium,Yes,2.3,0
1050,19,Male,71.5,70.7,54.3,5,4,High School,Low,Yes,0.1,1
1051,17,Female,68.9,87.0,82.6,2,5,Postgraduate,Medium,Yes,2.6,1
1052,21,Male,74.3,62.8,67.2,7,2,Postgraduate,Low,Yes,1.6,0
1053,19,Male,72.8,52.1,67.6,8,5,Graduate,Medium,Yes,2.2,0
1054,15,Male,83.0,77.4,65.5,0,1,Graduate,Low,Yes,3.1,0
1055,21,Male,70.8,67.6,50.0,5,5,High School,High,Yes,0.7,1
1056,16,Female,79.0,72.7,62.0,6,3,None,High,Yes,1.5,0
1057,18,Female,97.1,57.1,68.0,7,2,Graduate,Medium,Yes,3.6,0
1058,15,Male,79.5,59.5,39.2,9,2,Graduate,Medium,Yes,1.1,1
1059,18,Male,96.2,57.1,64.4,7,4,Graduate,Medium,No,2.9,0
1060,20,Female,92.4,72.5,83.7,6,5,Postgraduate,Low,Yes,0.9,1
1061,16,Female,85.1,59.9,70.4,7,4,Graduate,High,No,3.8,0
1062,16,Male,73.8,73.9,86.2,8,5,High School,Medium,No,4.0,0
1063,15,Female,90.5,55.7,69.9,9,5,High School,Low,Yes,4.9,0
1064,16,Female,75.0,72.5,47.7,6,1,Graduate,Medium,Yes,4.9,1
1065,19,Male,78.0,75.6,76.4,2,5,None,Low,Yes,3.4,0
1066,16,Female,82.0,70.0,43.6,8,4,Graduate,Low,Yes,0.4,1
1067,18,Female,77.9,78.8,59.5,0,5,High School,Medium,Yes,3.0,0
1068,18,Male,69.4,57.8,58.3,7,5,None,Medium,No,3.7,1
1069,21,Male,59.7,75.4,51.5,5,2,Postgraduate,Medium,Yes,3.2,1
1070,18,Female,89.5,68.5,100.0,2,2,Graduate,Medium,No,5.5,0
1071,21,Male,84.8,52.9,61.8,8,2,High School,Low,No,4.9,1
1072,18,Female,57.4,36.4,93.8,5,3,Postgraduate,Medium,Yes,3.0,1
1073,19,Male,69.0,39.6,68.8,6,2,High School,Low,Yes,4.1,1
1074,21,Female,80.1,31.9,49.0,1,3,Postgraduate,High,Yes,0.8,1
1075,17,Male,83.3,71.4,56.0,0,3,High School,Low,Yes,3.3,0
1076,20,Female,59.8,60.1,62.3,0,4,High School,Low,Yes,1.1,1
1077,15,Female,76.9,66.3,57.2,2,2,Postgraduate,High,No,2.7,0
1078,18,Female,84.5,62.3,58.3,2,5,Graduate,High,Yes,2.0,0
1079,16,Male,73.8,73.7,72.8,7,1,High School,High,Yes,2.0,0
1080,18,Male,81.1,74.2,69.2,6,5,None,Low,No,1.8,1
1081,16,Female,72.1,65.6,74.7,9,2,Graduate,Medium,Yes,2.4,0
1082,20,Female,88.9,66.6,89.0,7,5,None,Medium,Yes,2.1,0
1083,20,Male,68.4,67.2,55.0,0,2,High School,High,Yes,3.9,1
1084,20,Male,64.3,85.9,81.9,3,2,Postgraduate,Low,Yes,2.6,1
1085,16,Male,78.3,34.9,86.7,7,5,Graduate,Low,No,2.9,1
1086,18,Male,60.8,54.9,85.0,9,3,Postgraduate,Medium,No,3.4,1
1087,20,Male,52.7,78.0,33.1,1,4,Postgraduate,Low,Yes,3.4,1
1088,19,Male,91.0,81.6,93.6,6,4,None,Medium,Yes,1.4,1
1089,21,Female,66.2,71.4,52.2,7,4,None,High,Yes,2.6,1
1090,16,Male,62.0,62.2,31.7,8,4,Graduate,Medium,Yes,3.4,1
1091,16,Female,68.3,92.9,93.1,6,1,Graduate,Medium,Yes,1.7,1
1092,18,Male,67.7,67.7,71.7,8,2,Graduate,High,Yes,1.5,1
1093,16,Male,76.3,65.5,72.4,1,1,None,Low,Yes,1.2,1
1094,16,Female,64.9,85.0,57.4,0,4,None,Low,No,3.3,1
1095,20,Female,84.0,72.1,66.1,0,4,Postgraduate,Medium,Yes,2.6,0
1096,18,Male,85.8,79.1,60.6,3,5,Postgraduate,Low,Yes,2.8,0
1097,20,Female,62.7,80.9,52.4,0,4,Postgraduate,Low,No,0.3,1
1098,21,Female,70.6,59.4,63.4,6,2,Graduate,Low,Yes,3.1,0
1099,21,Female,71.7,91.5,64.9,7,4,High School,High,Yes,3.2,0
1100,20,Female,76.0,30.0,40.5,2,4,None,High,Yes,3.4,1
1101,21,Male,91.0,35.3,63.9,0,1,Graduate,Medium,No,5.2,0
1102,18,Female,91.7,54.8,32.6,2,2,None,Low,Yes,1.9,1
1103,15,Male,100.0,58.6,95.6,1,3,High School,Low,Yes,3.7,0
1104,20,Male,50.8,70.4,61.3,5,5,None,Low,Yes,3.5,1
1105,19,Male,66.9,54.7,44.8,6,3,None,Low,No,3.7,1
1106,19,Male,99.8,64.8,71.7,8,1,None,Low,Yes,2.5,0
1107,16,Female,56.4,61.9,50.3,4,4,Postgraduate,Medium,Yes,4.1,1
1108,21,Female,99.5,95.1,62.5,3,5,High School,Medium,Yes,1.9,0
1109,19,Male,79.8,52.9,70.7,0,2,Graduate,Low,Yes,2.3,0
1110,16,Male,80.2,39.8,45.7,5,5,Graduate,Medium,No,2.7,1
1111,15,Male,62.6,81.8,96.1,7,1,Graduate,Medium,Yes,2.7,1
1112,18,Male,72.6,54.3,97.8,3,4,High School,Medium,Yes,3.6,0
1113,18,Female,99.0,63.6,54.1,0,1,None,Low,No,3.4,1
1114,18,Male,77.4,55.3,43.9,4,2,Graduate,High,No,3.4,1
1115,19,Female,72.7,76.1,54.0,9,3,High School,Medium,Yes,5.0,0
1116,15,Male,82.9,44.4,54.9,4,4,Postgraduate,Low,Yes,2.7,0
1117,19,Male,75.7,30.0,81.9,1,4,High School,Medium,Yes,4.6,0
1118,21,Male,82.1,84.4,54.3,5,1,Postgraduate,Medium,No,1.4,1
1119,19,Male,67.8,68.7,43.3,9,1,High School,Medium,No,2.8,1
1120,15,Female,77.1,81.1,64.7,8,1,Postgraduate,Medium,Yes,2.9,0
1121,15,Female,70.3,83.9,37.7,5,4,Graduate,Medium,No,1.0,1
1122,21,Female,56.4,51.3,81.2,7,1,High School,Medium,No,3.1,1
1123,15,Male,83.8,65.9,73.2,9,5,Postgraduate,Medium,No,3.2,0
1124,15,Male,63.2,72.6,52.8,2,5,None,Low,Yes,3.9,1
1125,18,Female,76.0,63.4,54.7,9,5,Graduate,Low,No,3.7,1
1126,21,Female,89.1,60.3,67.2,1,4,Graduate,Low,No,1.1,1
1127,17,Male,60.0,61.8,44.2,3,1,Postgraduate,Medium,Yes,4.8,1
1128,17,Male,85.3,81.3,49.6,8,2,Postgraduate,Low,No,2.3,1
1129,15,Female,74.4,61.1,59.2,8,1,High School,Medium,Yes,2.1,0
1130,17,Male,66.4,74.0,40.6,2,4,Postgraduate,Low,Yes,3.7,1
1131,17,Male,100.0,70.2,55.3,0,5,Postgraduate,Medium,No,4.3,0
1132,15,Female,78.0,50.5,44.8,0,4,None,Medium,Yes,2.3,1
1133,17,Male,71.2,69.5,87.2,3,1,Graduate,Low,No,2.9,1
1134,19,Female,68.6,41.9,56.1,3,4,Postgraduate,Medium,Yes,4.4,1
1135,16,Male,88.6,71.0,46.9,9,2,Postgraduate,High,Yes,1.6,1
1136,21,Female,70.7,78.4,74.5,5,4,None,Low,Yes,0.0,1
1137,16,Male,87.1,81.8,52.3,4,3,Postgraduate,High,Yes,3.8,0
1138,15,Female,78.0,50.7,44.3,5,4,None,Medium,Yes,4.4,1
1139,18,Female,91.4,57.0,78.1,9,1,Graduate,Medium,Yes,0.6,1
1140,21,Female,65.5,69.3,57.5,6,3,Graduate,Low,Yes,3.0,1
1141,15,Female,67.2,57.9,77.3,6,5,None,Medium,Yes,2.3,1
1142,18,Male,74.6,36.1,62.7,9,1,None,Medium,No,3.2,0
1143,16,Male,75.6,56.9,65.2,9,2,Graduate,Medium,Yes,0.0,1
1144,15,Female,73.7,69.2,72.6,8,4,Graduate,High,Yes,1.1,1
1145,21,Male,100.0,81.0,52.2,5,4,None,Medium,Yes,3.7,0
1146,21,Male,100.0,90.3,49.2,7,1,High School,Low,Yes,2.8,1
1147,20,Male,81.6,66.9,83.4,1,4,Graduate,Low,No,5.3,1
1148,19,Male,83.0,73.5,72.8,7,4,Graduate,Low,Yes,3.9,0
1149,17,Male,75.2,79.4,61.9,8,5,None,High,Yes,1.6,0
1150,18,Female,65.4,34.2,76.5,3,4,None,Low,Yes,4.1,1
1151,20,Female,75.8,49.7,72.2,4,4,None,Low,Yes,5.6,0
1152,17,Female,87.3,66.5,79.0,4,5,High School,Low,Yes,2.9,0
1153,17,Female,93.7,88.3,43.6,1,4,None,High,No,3.6,1
1154,15,Male,89.9,74.4,61.9,4,5,High School,Medium,Yes,4.2,0
1155,17,Male,59.9,69.9,82.2,8,2,None,High,Yes,2.7,1
1156,19,Female,74.5,61.6,91.5,3,4,None,Medium,Yes,0.0,1
1157,21,Male,60.4,71.4,53.9,9,1,High School,High,No,3.8,1
1158,20,Male,92.0,56.1,65.7,2,3,Postgraduate,Low,No,4.2,1
1159,17,Female,73.1,53.3,63.3,6,2,Graduate,Low,Yes,5.2,0
1160,15,Male,77.4,54.6,41.8,7,4,None,Low,Yes,1.3,1
1161,19,Female,83.8,85.1,58.1,9,1,Postgraduate,Medium,Yes,1.4,1
1162,16,Female,100.0,52.4,36.2,5,3,High School,Medium,Yes,2.0,1
1163,21,Male,81.2,59.0,60.2,5,5,None,Low,Yes,2.7,0
1164,21,Male,75.1,72.1,45.4,4,4,High School,Low,No,3.8,1
1165,20,Female,63.1,51.8,65.9,5,5,High School,Medium,No,1.3,1
1166,21,Female,95.5,68.4,57.7,8,2,High School,Low,No,4.4,1
1167,17,Male,75.8,68.4,57.5,1,3,Postgraduate,Medium,Yes,4.3,0
1168,15,Female,97.9,55.6,89.4,9,3,High School,Low,No,4.4,1
1169,21,Female,91.3,61.1,64.2,2,5,Graduate,Medium,Yes,2.5,0
1170,21,Female,72.4,50.8,94.9,0,5,None,Medium,Yes,0.0,1
1171,16,Male,61.3,85.7,70.6,3,2,None,Medium,Yes,5.4,1
1172,16,Female,81.3,68.9,76.9,1,1,Graduate,Low,Yes,2.1,0
1173,18,Male,70.6,49.3,48.2,5,4,None,Low,No,4.1,1
1174,19,Female,78.5,66.9,51.2,0,1,Graduate,High,Yes,3.2,0
1175,17,Male,90.6,67.6,63.3,7,3,Postgraduate,Medium,Yes,4.7,0
1176,21,Female,58.2,31.4,83.6,9,4,High School,Medium,Yes,2.9,1
1177,21,Male,81.2,85.1,56.8,5,2,Postgraduate,Medium,No,3.1,0
1178,15,Male,87.1,50.2,38.7,8,1,Graduate,Low,No,3.3,1
1179,18,Male,87.7,96.4,69.8,5,1,High School,High,Yes,3.6,0
1180,19,Female,61.6,76.9,64.1,9,4,Postgraduate,Medium,Yes,1.1,1
1181,18,Female,83.0,48.1,53.6,6,2,High School,Medium,No,5.8,0
1182,20,Female,92.4,60.3,56.7,4,2,High School,High,Yes,2.9,0
1183,19,Male,82.1,78.8,48.2,7,1,Postgraduate,Low,No,3.9,1
1184,21,Female,76.6,61.4,78.7,7,1,None,Medium,No,5.3,0
1185,21,Male,91.7,82.7,63.4,9,5,Graduate,High,Yes,3.0,0
1186,19,Female,69.7,59.4,67.1,8,4,Postgraduate,Low,No,1.5,1
1187,21,Male,59.6,63.8,52.9,5,2,Postgraduate,Low,Yes,1.5,1
1188,17,Male,75.6,79.3,85.7,0,3,None,Medium,No,2.3,0
1189,19,Male,84.4,74.1,66.8,8,4,Graduate,Low,Yes,3.5,0
1190,18,Female,90.5,51.1,26.6,2,5,Postgraduate,High,No,3.7,1
1191,19,Female,84.4,71.5,70.8,8,4,High School,Low,No,4.7,1
1192,21,Female,88.0,67.5,58.5,6,1,Graduate,Medium,Yes,0.7,1
1193,17,Male,90.5,51.3,60.2,2,4,None,Low,Yes,3.3,0
1194,17,Male,73.9,44.1,79.9,8,4,Postgraduate,Low,Yes,3.9,0
1195,20,Female,76.2,36.0,64.5,6,4,High School,High,No,3.9,0
1196,18,Female,93.4,60.6,92.1,6,3,Graduate,Medium,No,0.0,1
1197,16,Female,63.5,64.2,64.8,6,5,Postgraduate,Low,No,2.4,1
1198,16,Male,83.1,72.6,55.1,1,4,Graduate,Low,Yes,4.2,0
1199,19,Male,69.4,77.3,32.2,3,4,High School,Medium,Yes,1.8,1
1200,20,Male,91.2,58.8,50.8,9,3,High School,High,Yes,1.2,1
1201,15,Male,77.8,63.8,57.5,7,2,Graduate,Medium,Yes,3.8,0
1202,19,Male,78.1,53.6,87.9,1,4,High School,Medium,Yes,3.4,0
1203,20,Female,98.7,66.3,55.2,3,4,High School,Low,No,3.3,1
1204,18,Male,65.1,79.5,90.9,9,2,Graduate,High,Yes,2.0,1
1205,18,Male,80.6,66.5,43.5,7,4,Graduate,Medium,No,1.0,1
1206,18,Male,75.8,82.4,49.9,2,4,None,Medium,Yes,4.4,1
1207,18,Male,84.4,79.3,82.2,5,4,Postgraduate,Medium,Yes,8.0,0
1208,18,Male,100.0,86.9,52.9,1,5,None,Medium,Yes,0.6,1
1209,20,Female,70.7,66.9,81.7,7,1,None,High,Yes,4.5,0
1210,20,Male,63.6,57.0,49.0,7,5,None,Medium,No,2.7,1
1211,17,Male,68.3,74.3,50.7,0,2,None,High,Yes,3.5,1
1212,16,Male,75.2,59.4,73.9,2,5,Postgraduate,Medium,Yes,2.9,0
1213,21,Female,78.8,73.8,49.2,1,5,Graduate,Medium,No,6.3,1
1214,18,Female,79.4,55.1,58.3,6,3,High School,High,No,1.8,0
1215,15,Female,99.6,52.6,69.7,6,2,High School,Low,Yes,2.1,0
1216,21,Male,97.5,83.2,58.7,3,2,Graduate,Medium,Yes,3.1,0
1217,20,Female,93.6,49.8,53.4,7,2,Graduate,Medium,Yes,3.9,0
1218,15,Male,100.0,80.3,42.5,2,5,Graduate,High,Yes,5.0,1
1219,15,Male,87.9,73.8,87.6,8,2,High School,Low,Yes,3.7,0
1220,15,Female,91.3,66.4,90.8,4,3,None,Low,No,3.3,1
1221,17,Male,87.7,36.6,68.6,1,4,None,Low,Yes,2.3,0
1222,20,Male,85.7,87.3,59.1,8,5,None,Low,Yes,3.8,0
1223,15,Male,82.7,51.0,60.0,0,4,Postgraduate,Low,Yes,1.9,0
1224,18,Female,73.2,79.3,77.1,7,4,None,Medium,No,3.3,0
1225,19,Male,63.0,54.6,80.5,5,5,Postgraduate,High,Yes,2.7,1
1226,15,Male,76.4,53.4,53.8,0,5,High School,Medium,Yes,1.5,0
1227,17,Female,84.8,75.0,81.3,3,2,Postgraduate,Low,Yes,5.3,0
1228,21,Male,78.9,73.1,73.5,2,3,Graduate,High,Yes,1.5,0
1229,20,Male,65.2,47.8,81.0,6,5,Graduate,Medium,Yes,2.4,1
1230,17,Female,76.0,86.6,35.8,6,4,High School,Low,Yes,0.6,1
1231,15,Male,75.4,61.9,55.9,5,5,None,Low,Yes,2.7,0
1232,20,Male,77.3,66.0,60.1,9,3,High School,Medium,Yes,3.7,0
1233,19,Male,83.9,60.5,55.0,9,1,Graduate,Medium,Yes,1.6,0
1234,15,Male,86.5,48.5,95.6,7,4,None,Medium,No,0.3,1
1235,17,Male,72.0,76.0,56.0,6,1,Graduate,Low,Yes,2.4,0
1236,16,Female,89.8,69.3,71.0,3,1,High School,High,No,2.8,0
1237,18,Female,91.6,52.9,65.6,6,3,None,Low,Yes,2.6,0
1238,21,Female,81.8,79.2,58.1,0,5,High School,Medium,No,5.4,0
1239,17,Female,86.0,65.8,51.0,2,1,Graduate,Medium,Yes,3.5,0
1240,20,Male,89.8,66.1,97.9,1,2,None,Low,Yes,3.4,0
1241,15,Male,64.8,91.6,59.2,6,5,Graduate,Low,No,3.5,1
1242,18,Male,90.7,40.9,77.9,8,4,None,Low,No,3.5,1
1243,15,Male,68.5,40.7,62.8,4,5,Postgraduate,Low,No,2.3,1
1244,20,Male,69.7,44.1,55.2,8,3,Postgraduate,Low,No,1.6,1
1245,15,Female,80.4,70.5,64.8,7,3,Graduate,Medium,Yes,6.7,0
1246,16,Female,52.3,59.6,68.2,0,4,High School,Medium,Yes,2.8,1
1247,18,Male,80.1,60.8,55.0,1,4,Postgraduate,Medium,Yes,3.0,0
1248,18,Male,89.8,50.9,50.0,5,4,Postgraduate,Medium,Yes,3.1,0
1249,20,Male,58.2,90.0,71.1,4,3,None,High,No,1.9,1
1250,21,Female,91.1,95.0,65.0,6,5,None,High,Yes,3.3,0
1251,16,Male,69.6,78.5,51.9,8,1,None,Low,No,1.1,1
1252,17,Male,80.5,42.4,47.0,3,1,Graduate,Medium,Yes,4.1,1
1253,15,Male,71.4,57.7,68.9,7,2,High School,Low,Yes,2.6,0
1254,19,Female,84.9,77.4,30.4,3,3,High School,Low,Yes,4.7,1
1255,15,Male,90.3,64.3,58.6,2,4,None,Medium,Yes,3.8,0
1256,15,Female,85.8,78.5,65.3,1,5,Graduate,Medium,No,3.6,0
1257,17,Female,78.0,83.7,92.5,7,3,None,Medium,No,1.8,0
1258,15,Female,72.3,93.6,63.2,7,2,High School,Medium,Yes,3.1,0
1259,16,Female,77.2,55.2,57.9,2,1,Graduate,Low,No,4.1,1
1260,16,Female,85.9,66.2,67.8,0,5,None,High,Yes,3.2,0
1261,18,Female,86.3,58.4,50.8,5,1,None,Low,No,1.0,1
1262,20,Male,84.6,35.0,59.3,4,5,High School,Low,Yes,4.5,0
1263,21,Male,62.6,75.5,63.5,7,4,Graduate,Low,Yes,4.1,1
1264,19,Male,77.7,73.5,73.7,5,5,High School,High,Yes,0.7,1
1265,15,Female,70.4,56.8,51.6,3,4,Graduate,Medium,Yes,3.2,0
1266,15,Male,86.0,41.0,62.9,9,3,Graduate,Medium,Yes,4.2,0
1267,17,Female,68.8,59.2,32.6,9,1,None,Medium,Yes,2.1,1
1268,20,Female,83.4,76.0,71.8,1,5,High School,Medium,Yes,1.0,1
1269,16,Female,74.6,85.1,59.1,7,5,Graduate,High,Yes,1.4,1
1270,19,Male,55.5,54.3,95.0,4,2,Postgraduate,Medium,Yes,2.8,1
1271,18,Female,89.2,81.6,69.0,7,1,None,High,Yes,4.4,0
1272,16,Female,77.7,74.3,48.3,4,3,High School,Medium,No,1.4,1
1273,20,Male,93.3,71.2,44.4,5,4,Graduate,Medium,Yes,1.4,1
1274,21,Male,58.0,45.6,74.2,9,3,None,Low,Yes,2.5,1
1275,18,Female,74.5,46.2,93.5,4,2,High School,High,Yes,4.0,0
1276,21,Female,75.4,52.5,88.3,2,3,High School,Medium,Yes,5.6,0
1277,17,Male,81.2,60.1,42.4,9,4,None,Medium,Yes,3.1,1
1278,17,Male,62.1,92.0,66.5,7,1,Graduate,Medium,Yes,2.0,1
1279,15,Male,84.5,55.1,82.2,2,2,None,Medium,Yes,1.8,0
1280,21,Female,100.0,76.6,40.2,3,5,Postgraduate,Low,Yes,5.1,1
1281,20,Male,83.7,58.0,80.6,5,5,None,Low,Yes,1.1,1
1282,19,Male,79.1,72.1,51.1,1,1,High School,Medium,No,3.3,0
1283,18,Male,61.5,64.1,59.3,6,3,Postgraduate,Low,No,5.0,1
1284,16,Female,68.7,67.7,67.7,4,5,Postgraduate,Medium,Yes,2.8,1
1285,20,Male,77.3,70.5,81.2,9,2,Graduate,Medium,Yes,1.4,1
1286,20,Male,71.6,61.3,89.0,4,4,None,Low,No,3.8,1
1287,17,Male,90.3,70.6,57.5,4,3,Graduate,Low,No,3.2,1
1288,21,Male,84.4,83.5,54.8,1,4,None,High,No,3.7,0
1289,15,Male,100.0,53.7,53.7,9,3,High School,Medium,Yes,3.9,0
1290,15,Female,66.2,82.8,76.3,8,2,Graduate,Low,Yes,3.8,1
1291,18,Female,78.4,61.0,79.9,2,4,High School,High,Yes,3.4,0
1292,17,Female,61.4,59.4,78.2,6,2,High School,Medium,No,4.0,1
1293,20,Male,51.3,75.5,67.6,4,4,Postgraduate,Low,No,5.0,1
1294,19,Female,86.7,59.9,69.3,9,3,Graduate,Low,Yes,1.8,0
1295,17,Female,84.0,69.8,59.1,9,2,None,Low,Yes,2.6,0
1296,18,Female,67.7,68.4,60.7,4,3,Graduate,High,Yes,4.2,1
1297,18,Male,79.1,33.7,77.5,3,3,High School,Medium,No,2.9,0
1298,17,Male,70.4,71.3,67.5,9,4,Postgraduate,Medium,Yes,1.1,1
1299,18,Female,72.1,43.4,55.0,5,4,Graduate,High,Yes,3.5,0
1300,17,Female,74.2,44.5,81.7,6,2,Postgraduate,Low,Yes,2.3,0
1301,16,Male,67.2,70.5,52.7,6,5,Postgraduate,Low,Yes,6.2,1
1302,17,Male,69.4,73.0,65.5,7,1,High School,Low,Yes,4.5,1
1303,21,Female,69.7,83.1,41.9,4,4,Graduate,Low,No,4.7,1
1304,17,Male,83.1,48.7,46.9,6,3,Graduate,Medium,Yes,3.1,1
1305,18,Female,44.7,53.9,63.3,3,1,Graduate,Medium,Yes,3.5,1
1306,21,Male,75.3,72.0,51.2,8,2,Postgraduate,Low,Yes,2.5,0
1307,18,Female,64.9,83.4,59.1,4,1,None,Low,Yes,1.7,1
1308,15,Female,65.4,67.9,83.6,2,1,Graduate,Low,Yes,1.6,1
1309,15,Male,71.7,51.8,60.9,4,5,High School,High,Yes,6.2,0
1310,21,Female,77.8,87.6,78.3,8,5,Postgraduate,Medium,No,3.6,0
1311,16,Female,75.4,61.1,49.7,7,1,None,Medium,No,1.0,1
1312,15,Female,65.2,61.5,72.3,0,5,Graduate,Low,Yes,4.4,1
1313,17,Male,86.7,43.5,46.0,4,5,None,Medium,Yes,6.9,1
1314,18,Male,67.2,75.9,58.8,5,1,Postgraduate,Low,Yes,0.7,1
1315,15,Male,69.2,77.8,73.0,9,4,None,High,No,3.9,1
1316,15,Female,81.4,54.4,63.2,1,5,Postgraduate,Medium,No,1.3,1
1317,16,Male,81.8,91.3,79.0,5,1,None,Medium,Yes,4.7,0
1318,21,Female,70.7,56.2,74.3,8,4,None,Medium,Yes,0.0,1
1319,21,Female,42.8,74.4,57.8,3,5,Postgraduate,Medium,Yes,3.1,1
1320,20,Male,67.4,68.4,85.0,2,1,None,Low,Yes,3.7,1
1321,16,Male,79.9,34.6,70.4,8,5,High School,Low,Yes,0.9,1
1322,17,Female,86.3,73.2,58.9,1,4,Graduate,Medium,Yes,3.7,0
1323,21,Female,77.0,71.8,65.5,8,1,None,Low,Yes,2.3,0
1324,18,Male,72.3,38.5,64.5,9,4,None,Low,Yes,5.6,0
1325,16,Male,100.0,87.9,66.4,1,3,None,Medium,No,0.9,1
1326,15,Male,73.5,71.9,60.6,9,2,Graduate,High,Yes,4.4,0
1327,18,Female,85.3,83.6,69.3,2,3,Postgraduate,High,No,2.9,0
1328,18,Female,62.0,39.3,76.4,6,5,Graduate,Low,Yes,4.9,1
1329,15,Female,64.9,58.8,70.2,1,4,None,Low,Yes,5.0,1
1330,16,Female,85.8,82.7,69.7,0,1,Postgraduate,Medium,Yes,2.6,0
1331,15,Female,90.5,41.5,61.3,8,4,None,High,Yes,2.9,0
1332,20,Male,73.3,59.3,47.9,5,5,Postgraduate,High,Yes,4.4,1
1333,18,Male,55.8,71.1,43.8,8,1,None,High,Yes,3.8,1
1334,19,Female,76.0,36.6,51.0,2,3,None,Medium,Yes,2.8,0
1335,19,Female,80.3,45.2,55.9,2,4,Postgraduate,Low,No,1.7,1
1336,17,Male,79.2,85.7,91.4,9,2,High School,Low,Yes,3.5,0
1337,21,Male,71.2,65.9,84.3,2,5,Graduate,Low,Yes,1.3,1
